gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN120459_c0_g2_i2	Gonad	female	TRINITY_DN120459_c0_g2_i2	G46	female	no
TRINITY_DN120473_c0_g1_i2	Gonad	female	TRINITY_DN120473_c0_g1_i2	G46	female	no
TRINITY_DN120485_c1_g3_i1	Gonad	female	TRINITY_DN120485_c1_g3_i1	G46	female	no
TRINITY_DN120545_c4_g1_i4	Gonad	female	TRINITY_DN120545_c4_g1_i4	G46	female	no
TRINITY_DN120594_c0_g1_i5	Gonad	female	TRINITY_DN120594_c0_g1_i5	G46	female	no
TRINITY_DN120619_c0_g1_i2	Gonad	female	TRINITY_DN120619_c0_g1_i2	G46	female	no
TRINITY_DN120636_c0_g8_i1	Gonad	female	TRINITY_DN120636_c0_g8_i1	G46	female	no
TRINITY_DN120666_c1_g1_i1	Gonad	female	TRINITY_DN120666_c1_g1_i1	G46	female	no
TRINITY_DN120688_c2_g1_i2	Gonad	female	TRINITY_DN120688_c2_g1_i2	G46	female	no
TRINITY_DN120707_c0_g1_i4	Gonad	female	TRINITY_DN120707_c0_g1_i4	G46	female	no
TRINITY_DN120743_c0_g1_i1	Gonad	female	TRINITY_DN120743_c0_g1_i1	G46	female	no
