"gid"	"log2RPKM"	"sex"	"bias"
"TRINITY_DN69456_c0_g2_i1"	0.203768201	"meanmale"	"female"
"TRINITY_DN118036_c0_g1_i1"	1.135058877	"meanmale"	"female"
"TRINITY_DN124362_c0_g6_i1"	-2.943231415	"meanmale"	"female"
"TRINITY_DN125558_c1_g2_i1"	-2.152173235	"meanmale"	"female"
"TRINITY_DN82182_c0_g1_i1"	-1.864516635	"meanmale"	"female"
"TRINITY_DN127559_c7_g3_i1"	-1.665288345	"meanmale"	"female"
"TRINITY_DN116262_c0_g2_i2"	-5.202644925	"meanmale"	"female"
"TRINITY_DN134769_c2_g1_i4"	-2.285059143	"meanmale"	"female"
"TRINITY_DN128356_c5_g3_i2"	-6.052320552	"meanmale"	"female"
"TRINITY_DN115334_c0_g2_i2"	-5.071126638	"meanmale"	"female"
"TRINITY_DN135727_c2_g2_i1"	-4.345378504	"meanmale"	"female"
"TRINITY_DN103798_c0_g1_i1"	1.486357129	"meanmale"	"female"
"TRINITY_DN126126_c1_g3_i1"	-5.055113035	"meanmale"	"female"
"TRINITY_DN132253_c2_g8_i2"	-2.021976031	"meanmale"	"female"
"TRINITY_DN124333_c0_g1_i1"	-5.060462665	"meanmale"	"female"
"TRINITY_DN103897_c0_g3_i1"	-1.067080178	"meanmale"	"female"
"TRINITY_DN131327_c3_g4_i1"	-2.513895837	"meanmale"	"female"
"TRINITY_DN116067_c0_g1_i1"	-0.795850719	"meanmale"	"female"
"TRINITY_DN95878_c0_g1_i2"	-3.888448509	"meanmale"	"female"
"TRINITY_DN121522_c0_g1_i3"	-3.862142865	"meanmale"	"female"
"TRINITY_DN74421_c0_g1_i1"	-3.957179838	"meanmale"	"female"
"TRINITY_DN132122_c0_g3_i7"	-4.836763219	"meanmale"	"female"
"TRINITY_DN120818_c0_g1_i2"	0.650922874	"meanmale"	"female"
"TRINITY_DN95890_c0_g1_i1"	1.719261989	"meanmale"	"female"
"TRINITY_DN181076_c0_g1_i1"	-0.083962414	"meanmale"	"female"
"TRINITY_DN109099_c0_g2_i2"	-3.828621326	"meanmale"	"female"
"TRINITY_DN118245_c0_g1_i2"	3.967650494	"meanmale"	"female"
"TRINITY_DN120314_c0_g3_i1"	-4.397921518	"meanmale"	"female"
"TRINITY_DN110103_c0_g1_i1"	-1.192834055	"meanmale"	"female"
"TRINITY_DN133921_c11_g2_i2"	-7.970795378	"meanmale"	"female"
"TRINITY_DN128157_c0_g1_i3"	-2.55767321	"meanmale"	"female"
"TRINITY_DN134055_c0_g1_i1"	-1.083234599	"meanmale"	"female"
"TRINITY_DN132810_c2_g2_i1"	-6.403465505	"meanmale"	"female"
"TRINITY_DN125119_c3_g4_i1"	-1.807386911	"meanmale"	"female"
"TRINITY_DN131157_c0_g1_i1"	-4.136798861	"meanmale"	"female"
"TRINITY_DN193701_c0_g1_i1"	-5.376083875	"meanmale"	"female"
"TRINITY_DN118554_c3_g1_i4"	-0.34670236	"meanmale"	"female"
"TRINITY_DN115449_c0_g4_i8"	1.309005141	"meanmale"	"female"
"TRINITY_DN125454_c3_g1_i1"	0.053604662	"meanmale"	"female"
"TRINITY_DN128175_c8_g3_i2"	-3.007251047	"meanmale"	"female"
"TRINITY_DN117724_c0_g1_i1"	-1.52989079	"meanmale"	"female"
"TRINITY_DN112226_c0_g2_i2"	-2.980197109	"meanmale"	"female"
"TRINITY_DN113605_c0_g1_i1"	-4.6672757	"meanmale"	"female"
"TRINITY_DN114530_c0_g6_i4"	-2.117746197	"meanmale"	"female"
"TRINITY_DN134122_c5_g6_i1"	-0.690241546	"meanmale"	"female"
