gid	cutoff	bias	log2RPKM	sex
TRINITY_DN115690_c0_g1_i1	FC1	male	0.171858084	meanmale
TRINITY_DN115690_c0_g2_i1	FC1	male	1.670036584	meanmale
TRINITY_DN115692_c0_g1_i1	FC1	male	1.499258425	meanmale
TRINITY_DN115726_c0_g4_i1	FC1	male	2.529659448	meanmale
TRINITY_DN115727_c0_g1_i1	FC1	male	0.068715447	meanmale
TRINITY_DN115766_c0_g1_i1	FC1	male	5.572583189	meanmale
TRINITY_DN115766_c0_g2_i1	FC1	male	6.709511619	meanmale
TRINITY_DN115771_c0_g1_i1	FC1	male	2.029256576	meanmale
TRINITY_DN115817_c2_g10_i1	FC1	male	5.304674368	meanmale
TRINITY_DN115817_c2_g3_i1	FC1	male	4.114499201	meanmale
TRINITY_DN115819_c0_g2_i5	FC1	male	2.539244261	meanmale
TRINITY_DN115858_c0_g1_i1	FC1	male	2.673740878	meanmale
TRINITY_DN115881_c0_g2_i1	FC1	male	0.421517892	meanmale
TRINITY_DN115882_c0_g2_i2	FC1	male	5.019296325	meanmale
TRINITY_DN115925_c0_g1_i3	FC1	male	2.135313339	meanmale
TRINITY_DN115930_c1_g2_i1	FC1	male	0.418279693	meanmale
TRINITY_DN115971_c0_g1_i1	FC1	male	1.928802551	meanmale
TRINITY_DN115974_c0_g3_i1	FC1	male	-0.148720879	meanmale
