gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN74421_c0_g3_i1	-7.496683438	7	female	NA
TRINITY_DN96323_c0_g1_i1	-7.47005721	7	female	NA
TRINITY_DN135175_c3_g2_i2	-7.464190878	7	female	-2.758944595
TRINITY_DN125006_c1_g6_i2	-7.45925733	7	female	NA
TRINITY_DN126783_c1_g5_i3	-7.454659856	7	female	-1.303049624
TRINITY_DN107487_c0_g1_i1	-7.436554962	7	female	NA
TRINITY_DN134508_c1_g2_i1	-7.394969006	7	female	NA
TRINITY_DN129649_c3_g2_i1	-7.386370866	7	female	-1.606948639
TRINITY_DN92825_c0_g3_i1	-7.367649627	7	female	NA
TRINITY_DN131390_c2_g1_i1	-7.336991065	7	female	NA
TRINITY_DN131967_c0_g4_i1	-7.318518945	7	female	NA
TRINITY_DN124065_c0_g1_i1	-7.316677695	7	female	-0.293286578
TRINITY_DN116337_c0_g1_i3	-7.315327784	7	female	-2.62219429
TRINITY_DN117740_c0_g1_i2	-7.314202203	7	female	-0.394802434
TRINITY_DN110644_c0_g2_i1	-7.310535608	7	female	NA
TRINITY_DN92587_c0_g1_i1	-7.306518642	7	female	NA
TRINITY_DN133129_c0_g1_i1	-7.29062455	7	female	NA
TRINITY_DN165014_c0_g1_i1	-7.278322642	7	female	-1.046933123
TRINITY_DN126078_c0_g1_i1	-7.278131892	7	female	NA
TRINITY_DN132822_c6_g2_i1	-7.274185098	7	female	-3.823291155
TRINITY_DN128589_c4_g2_i2	-7.26543526	7	female	-1.415395611
TRINITY_DN69456_c0_g2_i1	-7.245858466	7	female	0.102562962
TRINITY_DN118036_c0_g1_i1	-7.243634273	7	female	0.976492398
TRINITY_DN124362_c0_g6_i1	-7.22554125	7	female	NA
TRINITY_DN125558_c1_g2_i1	-7.220624785	7	female	-2.61209005
TRINITY_DN82182_c0_g1_i1	-7.213785924	7	female	NA
TRINITY_DN127559_c7_g3_i1	-7.212473613	7	female	-2.186668231
TRINITY_DN116262_c0_g2_i2	-7.209850004	7	female	NA
TRINITY_DN134769_c2_g1_i4	-7.187355924	7	female	NA
TRINITY_DN128356_c5_g3_i2	-7.182395045	7	female	NA
