gid	log2RPKM	sex	cutoff
TRINITY_DN131299_c0_g2_i2	1.597686369	meanfemale	FC1
TRINITY_DN129910_c0_g1_i2	-0.698875886	meanfemale	FC1
TRINITY_DN126460_c0_g5_i1	5.52291262	meanfemale	FC1
TRINITY_DN131104_c0_g1_i2	1.154825998	meanfemale	FC1
TRINITY_DN132741_c0_g1_i1	-0.274278451	meanfemale	FC1
TRINITY_DN128883_c0_g1_i2	0.89946821	meanfemale	FC1
TRINITY_DN116593_c2_g1_i4	3.433752904	meanfemale	FC1
TRINITY_DN112708_c0_g1_i1	0.868375654	meanfemale	FC1
TRINITY_DN116728_c0_g1_i2	3.261420739	meanfemale	FC1
TRINITY_DN126091_c1_g2_i1	4.137472839	meanfemale	FC1
TRINITY_DN125793_c1_g7_i4	-0.367639946	meanfemale	FC1
TRINITY_DN130527_c4_g4_i1	0.842375808	meanfemale	FC1
TRINITY_DN135314_c1_g4_i4	0.730912434	meanfemale	FC1
TRINITY_DN207176_c0_g1_i1	2.185228712	meanfemale	FC1
TRINITY_DN132075_c0_g1_i5	-0.481581287	meanfemale	FC1
TRINITY_DN127268_c1_g2_i1	5.123896302	meanfemale	FC1
TRINITY_DN126149_c3_g1_i1	2.111326462	meanfemale	FC1
TRINITY_DN127303_c2_g2_i1	3.731326723	meanfemale	FC1
TRINITY_DN126836_c2_g1_i2	6.035039176	meanfemale	FC1
TRINITY_DN133322_c1_g2_i1	0.03586624	meanfemale	FC1
TRINITY_DN112721_c0_g1_i1	1.79643412	meanfemale	FC1
TRINITY_DN124284_c0_g1_i4	1.647381914	meanfemale	FC1
TRINITY_DN95094_c0_g1_i1	1.776517222	meanfemale	FC1
TRINITY_DN132475_c1_g1_i2	1.75179872	meanfemale	FC1
TRINITY_DN128353_c0_g4_i3	3.627892774	meanfemale	FC1
TRINITY_DN121497_c2_g2_i2	3.312658627	meanfemale	FC1
TRINITY_DN129039_c0_g1_i1	-0.378472248	meanfemale	FC1
TRINITY_DN134738_c1_g2_i2	-1.707766704	meanfemale	FC1
TRINITY_DN116614_c0_g1_i2	3.286783347	meanfemale	FC1
TRINITY_DN136721_c2_g4_i2	1.92737999	meanfemale	FC1
TRINITY_DN129084_c8_g2_i1	3.139118865	meanfemale	FC1
TRINITY_DN127623_c0_g1_i8	2.943165193	meanfemale	FC1
TRINITY_DN134725_c1_g2_i7	4.490185892	meanfemale	FC1
TRINITY_DN133096_c6_g5_i1	1.408350924	meanfemale	FC1
TRINITY_DN104018_c1_g1_i1	0.747522338	meanfemale	FC1
TRINITY_DN131868_c0_g11_i1	-0.973747403	meanfemale	FC1
TRINITY_DN125353_c3_g2_i2	0.582837481	meanfemale	FC1
TRINITY_DN131144_c0_g3_i1	1.98645869	meanfemale	FC1
TRINITY_DN118284_c0_g1_i1	-0.270956201	meanfemale	FC1
TRINITY_DN129017_c1_g1_i1	3.685813126	meanfemale	FC1
TRINITY_DN125900_c0_g1_i1	-1.625723274	meanfemale	FC1
TRINITY_DN130828_c1_g5_i3	0.014850893	meanfemale	FC1
TRINITY_DN135018_c2_g2_i1	0.062069731	meanfemale	FC1
TRINITY_DN131589_c8_g3_i1	0.756223777	meanfemale	FC1
TRINITY_DN132087_c0_g1_i2	-0.471802509	meanfemale	FC1
TRINITY_DN118457_c0_g3_i1	1.075423518	meanfemale	FC1
TRINITY_DN138946_c0_g1_i1	0.514302532	meanfemale	FC1
TRINITY_DN108517_c0_g1_i1	1.298224813	meanfemale	FC1
TRINITY_DN132444_c9_g1_i3	-0.067720741	meanfemale	FC1
TRINITY_DN122600_c2_g2_i1	2.751451205	meanfemale	FC1
TRINITY_DN136070_c9_g2_i1	-1.382714078	meanfemale	FC1
TRINITY_DN92427_c0_g1_i2	2.359840696	meanfemale	FC1
TRINITY_DN126808_c0_g1_i1	1.75155457	meanfemale	FC1
TRINITY_DN121846_c0_g2_i2	0.670941297	meanfemale	FC1
TRINITY_DN127236_c4_g3_i2	6.146624902	meanfemale	FC1
TRINITY_DN135666_c0_g3_i1	-1.730253749	meanfemale	FC1
TRINITY_DN115056_c0_g1_i4	1.164454375	meanfemale	FC1
TRINITY_DN126614_c0_g1_i1	-0.116018091	meanfemale	FC1
TRINITY_DN131030_c6_g1_i1	3.643355515	meanfemale	FC1
TRINITY_DN124561_c0_g1_i1	-0.410853098	meanfemale	FC1
TRINITY_DN121909_c0_g4_i1	0.75240557	meanfemale	FC1
TRINITY_DN126593_c2_g1_i4	1.979796171	meanfemale	FC1
TRINITY_DN128511_c3_g1_i1	2.260871973	meanfemale	FC1
TRINITY_DN131292_c2_g2_i1	-0.77088137	meanfemale	FC1
TRINITY_DN105870_c0_g1_i1	1.379434685	meanfemale	FC1
TRINITY_DN128988_c1_g1_i4	1.87438366	meanfemale	FC1
TRINITY_DN98180_c0_g1_i1	1.774553422	meanfemale	FC1
TRINITY_DN96905_c0_g4_i1	5.019488112	meanfemale	FC1
TRINITY_DN113011_c0_g3_i1	0.648325596	meanfemale	FC1
