gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	sex
TRINITY_DN133338_c1_g2_i1	1.040169674	FC1	male	3.673916509	male
TRINITY_DN130764_c1_g1_i1	1.040551531	FC1	male	2.987366303	male
TRINITY_DN129408_c6_g2_i2	1.04088093	FC1	male	2.855409075	male
TRINITY_DN131758_c3_g2_i3	1.04090244	FC1	male	4.515537231	male
TRINITY_DN130967_c1_g1_i1	1.0410576	FC1	male	5.329481505	male
TRINITY_DN134278_c1_g2_i2	1.041074242	FC1	male	2.334253008	male
TRINITY_DN128615_c4_g1_i1	1.041732695	FC1	male	1.811618491	male
TRINITY_DN120184_c0_g1_i1	1.041942904	FC1	male	1.419953105	male
TRINITY_DN134598_c0_g1_i1	1.042345396	FC1	male	-0.059040041	male
TRINITY_DN126859_c1_g2_i2	1.042612131	FC1	male	4.475391906	male
TRINITY_DN129061_c0_g3_i3	1.0427335	FC1	male	3.949531284	male
TRINITY_DN136065_c3_g2_i2	1.043230464	FC1	male	2.075383968	male
TRINITY_DN126256_c5_g1_i6	1.043436496	FC1	male	6.176474259	male
TRINITY_DN122698_c3_g2_i1	1.043966682	FC1	male	6.161185752	male
TRINITY_DN116991_c0_g2_i1	1.044293467	FC1	male	NA	male
TRINITY_DN113791_c0_g1_i2	1.044315082	FC1	male	7.563985389	male
TRINITY_DN125030_c1_g1_i1	1.044330942	FC1	male	0.395310605	male
TRINITY_DN122611_c0_g1_i1	1.044721174	FC1	male	5.773605112	male
TRINITY_DN120917_c6_g1_i6	1.044798008	FC1	male	9.725225358	male
TRINITY_DN134390_c0_g1_i7	1.045114152	FC1	male	1.305384195	male
TRINITY_DN115486_c0_g1_i3	1.045238593	FC1	male	4.226169823	male
TRINITY_DN121930_c2_g6_i2	1.045508058	FC1	male	1.748165314	male
TRINITY_DN131677_c5_g4_i3	1.046031752	FC1	male	5.539492943	male
TRINITY_DN125189_c0_g1_i1	1.046113777	FC1	male	3.154377133	male
TRINITY_DN135034_c4_g2_i1	1.046666456	FC1	male	5.342522704	male
TRINITY_DN136124_c7_g2_i1	1.046742973	FC1	male	0.406528467	male
TRINITY_DN134528_c5_g1_i2	1.046747352	FC1	male	4.102735262	male
TRINITY_DN127104_c0_g1_i1	1.047385884	FC1	male	4.169008766	male
TRINITY_DN126852_c0_g1_i1	1.047889245	FC1	male	-0.128786435	male
TRINITY_DN133074_c8_g2_i1	1.047981327	FC1	male	2.436391224	male
TRINITY_DN124959_c2_g10_i1	1.048305545	FC1	male	2.763332123	male
TRINITY_DN123273_c4_g1_i1	1.048432799	FC1	male	2.185849492	male
TRINITY_DN132404_c1_g1_i10	1.049111172	FC1	male	0.338709326	male
TRINITY_DN132156_c4_g2_i1	1.049450915	FC1	male	3.256405281	male
TRINITY_DN133198_c1_g3_i2	1.049971624	FC1	male	1.215381199	male
TRINITY_DN133021_c1_g1_i1	1.050032909	FC1	male	-0.136868532	male
TRINITY_DN123437_c0_g1_i2	1.050305644	FC1	male	2.561324798	male
TRINITY_DN180083_c0_g1_i1	1.050503826	FC1	male	2.875647965	male
TRINITY_DN125620_c8_g1_i1	1.051176465	FC1	male	2.983796627	male
TRINITY_DN129847_c0_g1_i5	1.051569377	FC1	male	5.954516423	male
TRINITY_DN122047_c4_g2_i1	1.051779755	FC1	male	2.839179146	male
TRINITY_DN125494_c0_g3_i1	1.052059459	FC1	male	4.259601917	male
TRINITY_DN117148_c0_g1_i2	1.052607816	FC1	male	1.999921471	male
TRINITY_DN133499_c0_g1_i2	1.052637696	FC1	male	3.564409447	male
TRINITY_DN114639_c0_g1_i1	1.052691776	FC1	male	0.306269052	male
TRINITY_DN121794_c0_g1_i2	1.052796735	FC1	male	-0.976272753	male
TRINITY_DN129153_c9_g2_i1	1.052963236	FC1	male	2.465517226	male
TRINITY_DN127120_c0_g1_i1	1.053834136	FC1	male	2.154712824	male
TRINITY_DN106051_c0_g1_i1	1.053860427	FC1	male	1.929679815	male
TRINITY_DN124461_c1_g2_i3	1.053934305	FC1	male	2.262127263	male
TRINITY_DN135911_c1_g1_i3	1.053962803	FC1	male	6.711631996	male
TRINITY_DN125823_c0_g2_i7	1.054894906	FC1	male	1.032771345	male
TRINITY_DN81097_c0_g3_i1	1.055065262	FC1	male	1.533381559	male
TRINITY_DN130473_c0_g1_i1	1.055623587	FC1	male	3.720388584	male
TRINITY_DN129458_c1_g2_i2	1.055864652	FC1	male	1.14418069	male
TRINITY_DN118727_c0_g1_i2	1.056343306	FC1	male	2.44525076	male
TRINITY_DN119733_c0_g1_i2	1.05669993	FC1	male	0.137028792	male
TRINITY_DN111707_c0_g2_i2	1.056880583	FC1	male	-0.520689713	male
TRINITY_DN115465_c1_g1_i3	1.056940527	FC1	male	3.617851461	male
TRINITY_DN50226_c0_g1_i1	1.057105313	FC1	male	NA	male
TRINITY_DN38356_c0_g2_i1	1.057116385	FC1	male	0.871769315	male
TRINITY_DN108938_c0_g1_i1	1.05738416	FC1	male	1.198649005	male
TRINITY_DN132350_c0_g1_i1	1.057426713	FC1	male	3.216048592	male
TRINITY_DN103833_c0_g1_i1	1.057573221	FC1	male	6.00507592	male
TRINITY_DN135930_c1_g2_i2	1.057791607	FC1	male	-0.136225098	male
TRINITY_DN123459_c2_g2_i1	1.058602329	FC1	male	2.288131836	male
TRINITY_DN117473_c0_g2_i1	1.058888098	FC1	male	4.357066094	male
TRINITY_DN130170_c2_g1_i1	1.058936124	FC1	male	4.477443763	male
TRINITY_DN132993_c3_g6_i2	1.059365916	FC1	male	1.271517873	male
TRINITY_DN75379_c0_g1_i1	1.059597514	FC1	male	2.706448623	male
TRINITY_DN107337_c0_g1_i1	1.05989744	FC1	male	0.505691798	male
TRINITY_DN117352_c0_g1_i1	1.060197906	FC1	male	-0.105635454	male
TRINITY_DN51234_c0_g2_i1	1.060321509	FC1	male	1.552186447	male
TRINITY_DN104090_c1_g2_i1	1.060346152	FC1	male	5.379881157	male
TRINITY_DN114968_c0_g2_i1	1.060570063	FC1	male	1.081136588	male
TRINITY_DN126331_c1_g3_i2	1.060591225	FC1	male	2.810358207	male
TRINITY_DN132034_c1_g4_i11	1.060766839	FC1	male	3.541639022	male
TRINITY_DN130544_c2_g8_i1	1.060925301	FC1	male	0.985222928	male
TRINITY_DN133651_c3_g1_i2	1.062795844	FC1	male	-0.101451001	male
TRINITY_DN136219_c0_g1_i5	1.063229565	FC1	male	-0.875077644	male
TRINITY_DN136373_c4_g7_i5	1.063256636	FC1	male	2.172931302	male
TRINITY_DN123453_c2_g5_i1	1.063314792	FC1	male	2.830671597	male
TRINITY_DN129939_c2_g4_i1	1.063514046	FC1	male	-0.200344763	male
TRINITY_DN121494_c0_g1_i3	1.063579476	FC1	male	1.670386564	male
TRINITY_DN24145_c0_g1_i1	1.063830649	FC1	male	2.112080961	male
TRINITY_DN114109_c0_g1_i1	1.064069497	FC1	male	0.44582419	male
TRINITY_DN125389_c0_g2_i1	1.064077995	FC1	male	1.266153207	male
TRINITY_DN136400_c1_g1_i6	1.065098368	FC1	male	2.843302983	male
TRINITY_DN80263_c0_g1_i1	1.065588033	FC1	male	4.583095323	male
TRINITY_DN119643_c0_g1_i1	1.066017212	FC1	male	3.342114721	male
TRINITY_DN132883_c2_g1_i1	1.066220919	FC1	male	1.804621253	male
TRINITY_DN123693_c0_g3_i2	1.066330788	FC1	male	2.085111747	male
TRINITY_DN119255_c0_g1_i1	1.066344995	FC1	male	1.765957573	male
TRINITY_DN124681_c0_g7_i1	1.066856801	FC1	male	2.076596029	male
TRINITY_DN130358_c0_g1_i2	1.066873447	FC1	male	3.169121375	male
TRINITY_DN131081_c2_g6_i1	1.067147128	FC1	male	4.03644758	male
TRINITY_DN136390_c2_g2_i1	1.067151927	FC1	male	8.70579246	male
TRINITY_DN123813_c0_g2_i6	1.067583227	FC1	male	-0.552190385	male
TRINITY_DN133955_c2_g1_i1	1.06839821	FC1	male	-0.106376665	male
TRINITY_DN129138_c3_g1_i1	1.068662619	FC1	male	2.668897072	male
TRINITY_DN118545_c0_g1_i1	1.068932806	FC1	male	-0.375450566	male
TRINITY_DN124051_c0_g1_i1	1.069230317	FC1	male	5.663952884	male
TRINITY_DN134413_c14_g2_i1	1.069481511	FC1	male	0.953930307	male
TRINITY_DN114534_c0_g1_i2	1.069626916	FC1	male	0.590164097	male
TRINITY_DN126097_c0_g2_i1	1.070025043	FC1	male	-0.140233783	male
TRINITY_DN134848_c4_g3_i2	1.070069479	FC1	male	3.260880829	male
TRINITY_DN195298_c0_g1_i1	1.070197482	FC1	male	2.569751588	male
TRINITY_DN135364_c0_g4_i2	1.071043619	FC1	male	1.616234131	male
TRINITY_DN133458_c1_g3_i1	1.071640368	FC1	male	0.536033412	male
TRINITY_DN131702_c2_g3_i2	1.071841791	FC1	male	7.961177723	male
TRINITY_DN129284_c0_g1_i1	1.072100014	FC1	male	0.991513053	male
TRINITY_DN62982_c0_g1_i1	1.072802731	FC1	male	3.155877216	male
TRINITY_DN129819_c2_g1_i2	1.072986033	FC1	male	2.313752693	male
TRINITY_DN129292_c0_g3_i1	1.073146001	FC1	male	2.075750871	male
