gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN125119_c3_g3_i1	-7.865367533	FC7	female	NA	male
TRINITY_DN131426_c0_g3_i1	-7.860767333	FC7	female	NA	male
TRINITY_DN120071_c0_g1_i2	-7.860275091	FC7	female	-1.122828561	male
TRINITY_DN114530_c0_g7_i1	-7.818211549	FC7	female	NA	male
TRINITY_DN114684_c0_g1_i1	-7.814575833	FC7	female	-0.161814636	male
TRINITY_DN135230_c0_g1_i5	-7.803634241	FC7	female	-0.634040547	male
TRINITY_DN132736_c0_g1_i2	-7.798206191	FC7	female	-4.84507364	male
TRINITY_DN97837_c0_g1_i1	-7.796186842	FC7	female	NA	male
TRINITY_DN127850_c0_g1_i1	-7.778286644	FC7	female	NA	male
TRINITY_DN22630_c0_g1_i1	-7.767944214	FC7	female	NA	male
TRINITY_DN98815_c0_g2_i1	-7.733529179	FC7	female	2.262715881	male
TRINITY_DN124938_c5_g3_i1	-7.718036003	FC7	female	NA	male
TRINITY_DN128648_c7_g2_i1	-7.710421518	FC7	female	-0.034204221	male
TRINITY_DN111236_c0_g1_i1	-7.709480933	FC7	female	0.022393998	male
TRINITY_DN122009_c0_g1_i1	-7.708177059	FC7	female	-1.18712849	male
TRINITY_DN110915_c0_g1_i1	-7.68417441	FC7	female	NA	male
TRINITY_DN135585_c3_g1_i1	-7.680152917	FC7	female	-2.585843921	male
TRINITY_DN119839_c0_g5_i2	-7.675342017	FC7	female	NA	male
TRINITY_DN110644_c0_g1_i1	-7.673189666	FC7	female	NA	male
TRINITY_DN90720_c0_g1_i1	-7.672847958	FC7	female	NA	male
TRINITY_DN115522_c0_g1_i1	-7.656875798	FC7	female	NA	male
TRINITY_DN128020_c1_g1_i1	-7.652571172	FC7	female	-2.243271088	male
TRINITY_DN123024_c0_g1_i1	-7.63340557	FC7	female	NA	male
TRINITY_DN123718_c0_g4_i1	-7.612375219	FC7	female	NA	male
TRINITY_DN114038_c0_g1_i2	-7.595701555	FC7	female	NA	male
