gid	cutoff	co_sb	log2meanXY	group1
TRINITY_DN112269_c0_g1_i1	3	male	3.644193995	meanmale
TRINITY_DN112280_c0_g1_i1	3	male	1.355744507	meanmale
TRINITY_DN112351_c0_g1_i2	1	male	6.33355777	meanmale
TRINITY_DN112434_c0_g1_i1	1	male	0.009244291	meanmale
TRINITY_DN112438_c0_g1_i1	1	male	6.280007225	meanmale
TRINITY_DN112489_c0_g2_i2	1	male	-1.379374052	meanmale
TRINITY_DN112499_c0_g1_i1	1	male	4.920580597	meanmale
TRINITY_DN112530_c0_g1_i2	1	male	2.791143782	meanmale
TRINITY_DN112551_c0_g1_i2	1	male	2.998724552	meanmale
TRINITY_DN112596_c0_g1_i1	1	male	0.187535174	meanmale
TRINITY_DN112610_c0_g1_i2	3	male	2.766907169	meanmale
TRINITY_DN112614_c0_g1_i1	1	male	-0.11310732	meanmale
TRINITY_DN112672_c0_g3_i1	1	male	1.604162298	meanmale
TRINITY_DN112713_c0_g1_i3	1	male	0.916256742	meanmale
TRINITY_DN112732_c0_g1_i5	1	male	1.432019995	meanmale
TRINITY_DN112759_c0_g4_i2	1	male	3.566722493	meanmale
TRINITY_DN112760_c0_g1_i2	3	male	3.353887837	meanmale
TRINITY_DN112760_c0_g2_i1	3	male	2.462141055	meanmale
TRINITY_DN112760_c0_g3_i1	1	male	2.902401619	meanmale
TRINITY_DN112763_c0_g2_i1	1	male	3.118099014	meanmale
TRINITY_DN112768_c1_g1_i2	3	male	1.342521348	meanmale
TRINITY_DN112790_c0_g1_i1	1	male	5.01617242	meanmale
TRINITY_DN112799_c0_g1_i1	1	male	2.83348999	meanmale
TRINITY_DN112809_c1_g1_i1	1	male	1.499952222	meanmale
TRINITY_DN112847_c0_g1_i1	3	male	2.77497464	meanmale
TRINITY_DN112859_c0_g2_i1	1	male	1.581236852	meanmale
TRINITY_DN112874_c0_g1_i3	7	male	2.169143944	meanmale
TRINITY_DN112907_c0_g1_i1	7	male	3.279854573	meanmale
TRINITY_DN112910_c0_g1_i2	1	male	0.222555423	meanmale
TRINITY_DN112930_c0_g1_i1	3	male	3.711237024	meanmale
TRINITY_DN112947_c0_g1_i2	1	male	0.846660349	meanmale
TRINITY_DN112955_c0_g1_i2	1	male	1.458363452	meanmale
