gid	sex	bias
7.057258274	meanmale	unbias
2.551874272	meanmale	unbias
1.971890958	meanmale	unbias
7.361076108	meanmale	unbias
NA?	meanmale	unbias
2.425184714	meanmale	unbias
4.635008832	meanmale	unbias
4.738197096	meanmale	unbias
1.841558707	meanmale	unbias
2.022971368	meanmale	unbias
4.897141414	meanmale	unbias
7.528659163	meanmale	unbias
1.648769199	meanmale	unbias
1.66172243	meanmale	unbias
6.487622301	meanmale	unbias
1.876240255	meanmale	unbias
1.388941384	meanmale	unbias
-0.576920151	meanmale	unbias
0.863751844	meanmale	unbias
2.550729986	meanmale	unbias
3.968970681	meanmale	unbias
1.717224864	meanmale	unbias
6.174587019	meanmale	unbias
-0.485498578	meanmale	unbias
0.183324844	meanmale	unbias
0.362607294	meanmale	unbias
1.947491546	meanmale	unbias
4.450765469	meanmale	unbias
4.301563914	meanmale	unbias
6.168641841	meanmale	unbias
2.774040566	meanmale	unbias
0.717700929	meanmale	unbias
4.329582967	meanmale	unbias
3.180880452	meanmale	unbias
0.574172341	meanmale	unbias
5.651489071	meanmale	unbias
2.438262416	meanmale	unbias
0.566257353	meanmale	unbias
0.068880201	meanmale	unbias
1.745524143	meanmale	unbias
2.464885416	meanmale	unbias
5.315703017	meanmale	unbias
1.468169272	meanmale	unbias
6.133070821	meanmale	unbias
-0.464649735	meanmale	unbias
4.703678952	meanmale	unbias
2.299427075	meanmale	unbias
5.93735188	meanmale	unbias
0.749592097	meanmale	unbias
2.086859106	meanmale	unbias
4.822192894	meanmale	unbias
-0.972459272	meanmale	unbias
7.927248211	meanmale	unbias
2.143390778	meanmale	unbias
1.517861848	meanmale	unbias
0.165041912	meanmale	unbias
1.182253972	meanmale	unbias
-0.196349715	meanmale	unbias
-0.936401395	meanmale	unbias
4.661772478	meanmale	unbias
2.927879816	meanmale	unbias
5.964050671	meanmale	unbias
7.156549023	meanmale	unbias
-0.878422314	meanmale	unbias
3.710372439	meanmale	unbias
1.564505034	meanmale	unbias
3.448860946	meanmale	unbias
4.512494187	meanmale	unbias
0.254534147	meanmale	unbias
7.059419472	meanmale	unbias
0.687622463	meanmale	unbias
0.423822815	meanmale	unbias
-0.074811166	meanmale	unbias
5.774996783	meanmale	unbias
1.848149925	meanmale	unbias
1.660357909	meanmale	unbias
-0.66897582	meanmale	unbias
3.123568039	meanmale	unbias
0.957931393	meanmale	unbias
3.840849851	meanmale	unbias
5.764763105	meanmale	unbias
1.823844792	meanmale	unbias
6.839502376	meanmale	unbias
4.701756282	meanmale	unbias
3.710911468	meanmale	unbias
4.941690047	meanmale	unbias
8.515914162	meanmale	unbias
6.121675799	meanmale	unbias
7.602857465	meanmale	unbias
5.167036127	meanmale	unbias
5.726769249	meanmale	unbias
4.107733826	meanmale	unbias
5.805817329	meanmale	unbias
4.791842822	meanmale	unbias
-0.377133583	meanmale	unbias
6.446735158	meanmale	unbias
1.677702261	meanmale	unbias
4.44820751	meanmale	unbias
1.683896632	meanmale	unbias
-0.75971234	meanmale	unbias
8.033924785	meanmale	unbias
2.196861618	meanmale	unbias
1.488570052	meanmale	unbias
2.566603944	meanmale	unbias
2.312819742	meanmale	unbias
1.76667916	meanmale	unbias
1.349612313	meanmale	unbias
3.284582581	meanmale	unbias
5.578254107	meanmale	unbias
-0.462610947	meanmale	unbias
2.291258143	meanmale	unbias
3.705647247	meanmale	unbias
3.042845939	meanmale	unbias
2.994326111	meanmale	unbias
4.019032711	meanmale	unbias
1.029452982	meanmale	unbias
2.573488408	meanmale	unbias
0.194048034	meanmale	unbias
1.815765461	meanmale	unbias
4.051531546	meanmale	unbias
-0.527223363	meanmale	unbias
1.853820393	meanmale	unbias
3.890041524	meanmale	unbias
5.393682675	meanmale	unbias
7.57714757	meanmale	unbias
1.457454534	meanmale	unbias
3.291236237	meanmale	unbias
7.639116642	meanmale	unbias
-0.707866223	meanmale	unbias
3.396958806	meanmale	unbias
5.086742048	meanmale	unbias
3.609565155	meanmale	unbias
NA?	meanmale	unbias
2.174095319	meanmale	unbias
5.0280561	meanmale	unbias
2.545200101	meanmale	unbias
0.404671382	meanmale	unbias
8.585392232	meanmale	unbias
-0.09220886	meanmale	unbias
1.225847088	meanmale	unbias
3.428106194	meanmale	unbias
0.635667708	meanmale	unbias
3.296410605	meanmale	unbias
2.681184919	meanmale	unbias
0.824787264	meanmale	unbias
3.627707682	meanmale	unbias
1.327221477	meanmale	unbias
-0.097364265	meanmale	unbias
0.461846545	meanmale	unbias
2.834651891	meanmale	unbias
2.124457231	meanmale	unbias
0.897044902	meanmale	unbias
-0.158773859	meanmale	unbias
3.962667125	meanmale	unbias
5.245962345	meanmale	unbias
2.013181782	meanmale	unbias
4.066161508	meanmale	unbias
2.918157947	meanmale	unbias
1.061271151	meanmale	unbias
-0.526271097	meanmale	unbias
1.276832372	meanmale	unbias
4.016736661	meanmale	unbias
4.566772554	meanmale	unbias
3.83216508	meanmale	unbias
1.259229072	meanmale	unbias
2.987582093	meanmale	unbias
2.47134434	meanmale	unbias
3.407051295	meanmale	unbias
6.277686675	meanmale	unbias
5.411232931	meanmale	unbias
2.611353778	meanmale	unbias
1.939581616	meanmale	unbias
6.069237712	meanmale	unbias
0.01414925	meanmale	unbias
3.009087653	meanmale	unbias
-0.057363028	meanmale	unbias
-1.265663846	meanmale	unbias
2.944360233	meanmale	unbias
NA?	meanmale	unbias
5.324990759	meanmale	unbias
NA?	meanmale	unbias
5.806811177	meanmale	unbias
4.885091805	meanmale	unbias
-0.178935423	meanmale	unbias
-0.98639479	meanmale	unbias
5.744743924	meanmale	unbias
3.651096287	meanmale	unbias
3.084438895	meanmale	unbias
1.512747506	meanmale	unbias
1.105233175	meanmale	unbias
6.619436238	meanmale	unbias
1.431133188	meanmale	unbias
3.74158838	meanmale	unbias
6.437425319	meanmale	unbias
1.368445607	meanmale	unbias
1.372098486	meanmale	unbias
1.663477556	meanmale	unbias
7.593956337	meanmale	unbias
0.656544375	meanmale	unbias
4.593533831	meanmale	unbias
1.21105194	meanmale	unbias
1.586181198	meanmale	unbias
6.739676993	meanmale	unbias
1.014601896	meanmale	unbias
7.063809149	meanmale	unbias
3.237888553	meanmale	unbias
1.627639305	meanmale	unbias
3.275369232	meanmale	unbias
1.927815503	meanmale	unbias
1.352123204	meanmale	unbias
2.161137161	meanmale	unbias
-0.457914149	meanmale	unbias
4.4063978	meanmale	unbias
3.817468271	meanmale	unbias
6.731026109	meanmale	unbias
5.486046495	meanmale	unbias
0.242461355	meanmale	unbias
0.849064924	meanmale	unbias
2.877255462	meanmale	unbias
6.295010164	meanmale	unbias
2.580380617	meanmale	unbias
3.20052838	meanmale	unbias
1.966605229	meanmale	unbias
7.590577784	meanmale	unbias
4.243021638	meanmale	unbias
2.757655301	meanmale	unbias
1.798878856	meanmale	unbias
8.498668854	meanmale	unbias
5.96830994	meanmale	unbias
1.263410905	meanmale	unbias
3.072995098	meanmale	unbias
2.256174041	meanmale	unbias
1.127996608	meanmale	unbias
3.15680648	meanmale	unbias
