Log2RPKM	sex	bias
5.699507244	meanmale	female
4.820852265	meanmale	female
0.313213845	meanmale	female
3.962302211	meanmale	female
2.538718238	meanmale	female
-0.161188549	meanmale	female
-0.109296156	meanmale	female
4.620923284	meanmale	female
-2.122951705	meanmale	female
-1.939272153	meanmale	female
-0.258448048	meanmale	female
-1.315119882	meanmale	female
4.516736815	meanmale	female
NA	meanmale	female
3.137599254	meanmale	female
2.738935044	meanmale	female
-0.33029867	meanmale	female
-1.687901636	meanmale	female
4.188843576	meanmale	female
7.027631556	meanmale	female
-3.626646946	meanmale	female
0.602311924	meanmale	female
-1.311789128	meanmale	female
2.805916032	meanmale	female
-0.437799095	meanmale	female
1.131154979	meanmale	female
2.698448608	meanmale	female
1.713187035	meanmale	female
3.680056624	meanmale	female
1.277848758	meanmale	female
1.4992576	meanmale	female
NA	meanmale	female
4.52514599	meanmale	female
5.441377945	meanmale	female
1.948329826	meanmale	female
0.361796928	meanmale	female
4.259758523	meanmale	female
NA	meanmale	female
3.301159102	meanmale	female
NA	meanmale	female
-2.185545447	meanmale	female
0.972214298	meanmale	female
NA	meanmale	female
-0.713689426	meanmale	female
NA	meanmale	female
NA	meanmale	female
NA	meanmale	female
2.945814463	meanmale	female
5.585591351	meanmale	female
5.710773169	meanmale	female
NA	meanmale	female
NA	meanmale	female
-2.416806861	meanmale	female
NA	meanmale	female
2.579743377	meanmale	female
3.255272716	meanmale	female
-0.20578199	meanmale	female
-1.853557329	meanmale	female
1.589735418	meanmale	female
4.675934904	meanmale	female
3.108668999	meanmale	female
1.49722458	meanmale	female
NA	meanmale	female
3.929420114	meanmale	female
-0.161814636	meanmale	female
NA	meanmale	female
-0.753726686	meanmale	female
4.055903057	meanmale	female
1.519726247	meanmale	female
5.807581947	meanmale	female
-0.946028088	meanmale	female
NA	meanmale	female
-1.192887192	meanmale	female
-2.919096873	meanmale	female
1.890407006	meanmale	female
1.629462587	meanmale	female
0.273792213	meanmale	female
3.756728444	meanmale	female
