gid	sex	log2RPKM	cutoff
TRINITY_DN110644_c0_g1_i1	meanfemale	2.000093105	FC5
TRINITY_DN128331_c2_g1_i1	meanfemale	4.373571012	FC5
TRINITY_DN126794_c4_g2_i1	meanfemale	1.007373075	FC5
TRINITY_DN124907_c0_g1_i1	meanfemale	1.879480996	FC5
TRINITY_DN135727_c2_g2_i1	meanfemale	1.454734863	FC5
TRINITY_DN122194_c3_g1_i2	meanfemale	5.681103678	FC5
TRINITY_DN107978_c0_g1_i1	meanfemale	4.166112639	FC5
TRINITY_DN121110_c0_g1_i2	meanfemale	3.010604957	FC5
TRINITY_DN123456_c0_g4_i1	meanfemale	7.765796022	FC5
TRINITY_DN123257_c0_g1_i1	meanfemale	1.290073192	FC5
TRINITY_DN17174_c0_g1_i1	meanfemale	3.125991938	FC5
TRINITY_DN123809_c0_g2_i2	meanfemale	3.458391091	FC5
TRINITY_DN133080_c7_g9_i1	meanfemale	4.139359452	FC5
TRINITY_DN128595_c0_g6_i1	meanfemale	7.482683692	FC5
TRINITY_DN126388_c0_g1_i1	meanfemale	3.867254984	FC5
TRINITY_DN129633_c3_g2_i1	meanfemale	1.929616289	FC5
TRINITY_DN130955_c0_g1_i1	meanfemale	5.374714468	FC5
TRINITY_DN121134_c1_g1_i6	meanfemale	4.841178496	FC5
TRINITY_DN131147_c0_g2_i1	meanfemale	4.957362674	FC5
TRINITY_DN129848_c0_g1_i1	meanfemale	2.528052977	FC5
TRINITY_DN111594_c0_g1_i2	meanfemale	5.652881087	FC5
TRINITY_DN128186_c0_g1_i4	meanfemale	6.641397492	FC5
TRINITY_DN99798_c0_g3_i1	meanfemale	2.472988211	FC5
TRINITY_DN130516_c2_g2_i1	meanfemale	3.043270306	FC5
TRINITY_DN96008_c0_g1_i1	meanfemale	4.95833315	FC5
TRINITY_DN109883_c0_g1_i1	meanfemale	2.67367771	FC5
TRINITY_DN124061_c0_g1_i3	meanfemale	1.62438249	FC5
TRINITY_DN117838_c2_g1_i2	meanfemale	2.797826384	FC5
TRINITY_DN125652_c0_g2_i2	meanfemale	4.029257333	FC5
TRINITY_DN109669_c1_g2_i1	meanfemale	7.566754315	FC5
TRINITY_DN136529_c1_g2_i1	meanfemale	9.104605853	FC5
TRINITY_DN124951_c0_g3_i3	meanfemale	3.741619251	FC5
TRINITY_DN135655_c1_g1_i1	meanfemale	7.071976924	FC5
TRINITY_DN115691_c0_g3_i4	meanfemale	1.813536714	FC5
TRINITY_DN130965_c2_g1_i4	meanfemale	4.969300068	FC5
TRINITY_DN134122_c5_g6_i1	meanfemale	3.75758577	FC5
TRINITY_DN124339_c4_g2_i1	meanfemale	4.076368368	FC5
TRINITY_DN113183_c0_g1_i2	meanfemale	11.18091781	FC5
TRINITY_DN126312_c0_g1_i4	meanfemale	6.381067988	FC5
TRINITY_DN113614_c0_g1_i2	meanfemale	4.100038867	FC5
TRINITY_DN124521_c0_g1_i1	meanfemale	6.344672017	FC5
TRINITY_DN124680_c0_g2_i3	meanfemale	4.456972273	FC5
TRINITY_DN109791_c0_g2_i1	meanfemale	2.554777386	FC5
TRINITY_DN120254_c0_g1_i1	meanfemale	3.929793988	FC5
TRINITY_DN120930_c0_g1_i2	meanfemale	3.673582191	FC5
TRINITY_DN136054_c1_g2_i1	meanfemale	2.64704851	FC5
TRINITY_DN102581_c0_g1_i2	meanfemale	1.442092528	FC5
TRINITY_DN127513_c0_g1_i1	meanfemale	3.712701087	FC5
TRINITY_DN136055_c0_g1_i2	meanfemale	5.230716126	FC5
TRINITY_DN118445_c0_g1_i3	meanfemale	2.950893932	FC5
TRINITY_DN116815_c0_g2_i2	meanfemale	3.204658374	FC5
TRINITY_DN97559_c0_g1_i1	meanfemale	8.778800436	FC5
TRINITY_DN131157_c0_g1_i1	meanfemale	3.264538244	FC5
TRINITY_DN123710_c0_g1_i1	meanfemale	3.232640333	FC5
TRINITY_DN133568_c1_g1_i1	meanfemale	2.50975521	FC5
TRINITY_DN118674_c0_g1_i2	meanfemale	5.144839819	FC5
TRINITY_DN127178_c0_g3_i8	meanfemale	7.947318652	FC5
TRINITY_DN127864_c2_g4_i4	meanfemale	3.846427478	FC5
TRINITY_DN133338_c1_g3_i1	meanfemale	1.931798168	FC5
TRINITY_DN120335_c0_g1_i2	meanfemale	5.7751982	FC5
TRINITY_DN135189_c4_g1_i1	meanfemale	5.636204387	FC5
TRINITY_DN103565_c0_g4_i1	meanfemale	0.473559243	FC5
TRINITY_DN105601_c0_g1_i1	meanfemale	6.336499191	FC5
TRINITY_DN128861_c3_g1_i1	meanfemale	3.005996901	FC3
TRINITY_DN111588_c1_g2_i1	meanfemale	2.600155602	FC3
TRINITY_DN47771_c0_g1_i1	meanfemale	1.85305989	FC3
TRINITY_DN112243_c0_g1_i1	meanfemale	3.331213336	FC3
TRINITY_DN117798_c2_g1_i1	meanfemale	2.066192948	FC3
TRINITY_DN98315_c0_g1_i3	meanfemale	3.649539898	FC3
TRINITY_DN122919_c1_g3_i3	meanfemale	3.501167378	FC3
TRINITY_DN127094_c2_g4_i3	meanfemale	2.156676008	FC3
TRINITY_DN111329_c0_g1_i2	meanfemale	2.95862381	FC3
TRINITY_DN98982_c0_g1_i2	meanfemale	4.743002003	FC3
TRINITY_DN108668_c0_g1_i1	meanfemale	2.417041462	FC3
TRINITY_DN128272_c5_g1_i4	meanfemale	4.415335901	FC3
TRINITY_DN126545_c0_g3_i5	meanfemale	7.577855026	FC3
TRINITY_DN126786_c0_g1_i1	meanfemale	4.407075181	FC3
TRINITY_DN124336_c0_g2_i1	meanfemale	1.217859431	FC3
TRINITY_DN118157_c1_g1_i1	meanfemale	7.922210923	FC3
TRINITY_DN181076_c0_g1_i1	meanfemale	4.570296395	FC3
TRINITY_DN135334_c1_g1_i2	meanfemale	3.322526186	FC3
TRINITY_DN131258_c0_g1_i1	meanfemale	3.25595842	FC3
TRINITY_DN127929_c1_g1_i2	meanfemale	7.192631138	FC3
TRINITY_DN126594_c0_g1_i4	meanfemale	5.495122586	FC3
TRINITY_DN119209_c1_g2_i1	meanfemale	6.129765022	FC3
TRINITY_DN136189_c1_g1_i5	meanfemale	5.222589477	FC3
TRINITY_DN126507_c0_g1_i2	meanfemale	1.860057695	FC3
TRINITY_DN82182_c0_g1_i1	meanfemale	4.209232884	FC3
