gid	tau	tissue	stage
TRINITY_DN110349_c0_g1_i1	0.475690645	Ovary_mean	G23
TRINITY_DN125885_c4_g3_i1	0.179221886	G23_fmean	G23
TRINITY_DN116156_c0_g2_i1	0.241438134	Brain_mmean	G23
TRINITY_DN134131_c2_g2_i1	0.434610432	G31_fmean	G23
TRINITY_DN127113_c0_g1_i2	0.238940596	Ovary_mean	G23
TRINITY_DN118126_c0_g1_i1	0.140103828	G23_mmean	G23
TRINITY_DN122611_c2_g3_i4	0.21234437	Ovary_mean	G23
TRINITY_DN134366_c2_g2_i4	0.390748911	Ovary_mean	G23
TRINITY_DN127072_c5_g2_i1	0.564543705	Ovary_mean	G23
TRINITY_DN134476_c5_g6_i3	0.375236178	Ovary_mean	G23
TRINITY_DN120786_c0_g1_i4	0.192024645	G23_fmean	G23
TRINITY_DN118479_c0_g1_i1	0.553254643	Ovary_mean	G23
TRINITY_DN117015_c2_g1_i2	0.517785523	Liver_fmean	G23
TRINITY_DN135490_c1_g1_i2	0.388464683	Brain_mmean	G23
TRINITY_DN127525_c2_g1_i6	0.281935639	G43_M_mean	G23
TRINITY_DN118297_c0_g2_i1	0.468552323	Ovary_mean	G23
TRINITY_DN121182_c1_g2_i2	0.243535645	Testis_mean	G23
TRINITY_DN131409_c0_g1_i2	0.09632391	Testis_mean	G23
TRINITY_DN122622_c0_g3_i14	0.230053695	Testis_mean	G23
TRINITY_DN132719_c0_g1_i3	0.169695204	Brain_fmean	G23
TRINITY_DN130321_c2_g2_i4	0.480061836	G27_mmean	G23
TRINITY_DN128819_c2_g3_i1	0.345894065	Testis_mean	G23
TRINITY_DN125849_c3_g2_i1	0.371431608	Ovary_mean	G23
TRINITY_DN104919_c0_g1_i1	0.118203734	Brain_fmean	G23
TRINITY_DN136422_c3_g1_i2	0.341048727	G43_F_mean	G23
TRINITY_DN9141_c0_g1_i1	0.458000963	G23_mmean	G23
TRINITY_DN179808_c0_g1_i1	0.202183028	Ovary_mean	G23
TRINITY_DN133920_c0_g7_i2	0.4636313	Ovary_mean	G23
TRINITY_DN130506_c0_g1_i2	0.514303094	Brain_fmean	G23
TRINITY_DN135609_c5_g1_i4	0.221693458	G23_mmean	G23
TRINITY_DN115626_c0_g2_i1	0.259561675	Ovary_mean	G23
TRINITY_DN132452_c4_g3_i2	0.33316821	Ovary_mean	G23
TRINITY_DN116830_c0_g1_i1	0.22249264	Ovary_mean	G23
TRINITY_DN130185_c1_g1_i1	0.307406481	Ovary_mean	G23
TRINITY_DN127319_c0_g4_i3	0.340239935	Brain_mmean	G23
TRINITY_DN133983_c9_g1_i6	0.394912044	Brain_fmean	G23
TRINITY_DN110778_c0_g1_i1	0.441500073	Ovary_mean	G23
TRINITY_DN116779_c0_g1_i1	0.282321146	Ovary_mean	G23
TRINITY_DN127680_c4_g2_i3	0.084212658	Testis_mean	G23
TRINITY_DN134510_c4_g4_i4	0.300851806	G23_mmean	G23
TRINITY_DN128683_c0_g1_i2	0.667829272	G27_fmean	G23
TRINITY_DN124650_c4_g3_i2	0.540027222	Ovary_mean	G23
TRINITY_DN129454_c4_g3_i3	0.471943041	Ovary_mean	G23
TRINITY_DN125574_c0_g1_i3	0.434389902	Ovary_mean	G23
TRINITY_DN119935_c0_g1_i3	0.36146599	Ovary_mean	G23
TRINITY_DN134491_c4_g1_i2	0.444676981	Brain_mmean	G23
TRINITY_DN110454_c0_g5_i1	0.31878641	Brain_mmean	G23
TRINITY_DN134436_c0_g1_i2	0.346069521	Brain_fmean	G23
TRINITY_DN117147_c0_g3_i2	0.281135332	Ovary_mean	G23
