ID	Tissue_specific_index	Tissue_name
TRINITY_DN31174_c0_g1_i1	1	Brain_fmean
TRINITY_DN213868_c0_g1_i1	1	Ovary_mean
TRINITY_DN114454_c0_g2_i1	1	Testis_mean
TRINITY_DN99742_c0_g1_i1	1	Ovary_mean
TRINITY_DN142998_c0_g1_i1	1	Liver_fmean
TRINITY_DN11090_c0_g2_i1	1	Brain_mmean
TRINITY_DN176940_c0_g1_i1	1	Ovary_mean
TRINITY_DN64817_c0_g1_i1	1	Ovary_mean
TRINITY_DN66832_c0_g1_i1	1	Ovary_mean
TRINITY_DN209893_c0_g1_i1	1	Ovary_mean
TRINITY_DN207750_c0_g1_i1	1	Ovary_mean
TRINITY_DN155687_c0_g1_i1	1	Ovary_mean
TRINITY_DN95344_c0_g1_i1	1	Ovary_mean
TRINITY_DN127149_c1_g2_i1	1	Ovary_mean
TRINITY_DN46350_c0_g1_i1	1	Ovary_mean
TRINITY_DN86724_c0_g1_i1	1	Ovary_mean
TRINITY_DN3379_c0_g1_i1	1	Ovary_mean
TRINITY_DN71621_c0_g1_i1	1	Liver_fmean
TRINITY_DN101489_c0_g1_i1	1	Ovary_mean
TRINITY_DN136506_c0_g1_i1	1	Brain_mmean
TRINITY_DN179391_c0_g1_i1	1	Ovary_mean
TRINITY_DN32122_c0_g1_i1	1	Ovary_mean
TRINITY_DN101072_c0_g1_i1	1	Ovary_mean
TRINITY_DN152712_c0_g1_i1	1	Ovary_mean
TRINITY_DN106704_c0_g2_i1	1	Ovary_mean
TRINITY_DN158639_c0_g1_i1	1	Ovary_mean
TRINITY_DN128_c0_g2_i1	1	Ovary_mean
TRINITY_DN79778_c0_g1_i1	1	Ovary_mean
TRINITY_DN206243_c0_g1_i1	1	Ovary_mean
TRINITY_DN171342_c0_g1_i1	1	Ovary_mean
TRINITY_DN181918_c0_g1_i1	1	Ovary_mean
TRINITY_DN3191_c0_g2_i1	1	Ovary_mean
TRINITY_DN133595_c5_g6_i1	1	Ovary_mean
TRINITY_DN153449_c0_g1_i1	1	Ovary_mean
TRINITY_DN162210_c0_g1_i1	1	Ovary_mean
TRINITY_DN53122_c0_g2_i1	1	Ovary_mean
TRINITY_DN142894_c0_g1_i1	1	Ovary_mean
TRINITY_DN175484_c0_g1_i1	1	Ovary_mean
TRINITY_DN143593_c0_g1_i1	1	Ovary_mean
TRINITY_DN50971_c0_g2_i1	1	Ovary_mean
TRINITY_DN124613_c2_g1_i1	1	Ovary_mean
TRINITY_DN16403_c0_g1_i1	1	Ovary_mean
TRINITY_DN217529_c0_g1_i1	1	Ovary_mean
TRINITY_DN18859_c0_g1_i1	1	G23_fmean
TRINITY_DN80623_c0_g2_i1	1	Brain_fmean
TRINITY_DN13679_c0_g2_i1	1	Ovary_mean
TRINITY_DN167774_c0_g1_i1	1	Liver_fmean
TRINITY_DN46415_c0_g1_i1	1	Ovary_mean
TRINITY_DN169766_c0_g1_i1	1	Ovary_mean
TRINITY_DN51646_c0_g2_i1	1	Ovary_mean
TRINITY_DN135058_c4_g14_i1	1	Ovary_mean
TRINITY_DN124385_c0_g1_i1	1	Ovary_mean
TRINITY_DN124848_c3_g5_i1	1	Ovary_mean
TRINITY_DN102898_c0_g2_i1	1	Ovary_mean
TRINITY_DN157105_c0_g1_i1	1	Liver_fmean
TRINITY_DN156059_c0_g1_i1	1	G43_M_mean
TRINITY_DN66375_c0_g1_i1	1	Ovary_mean
TRINITY_DN24461_c0_g1_i1	1	Ovary_mean
TRINITY_DN218223_c0_g1_i1	1	Ovary_mean
TRINITY_DN70925_c0_g1_i1	1	Ovary_mean
TRINITY_DN16010_c0_g1_i1	1	Liver_mmean
TRINITY_DN211858_c0_g1_i1	1	Ovary_mean
TRINITY_DN114454_c0_g1_i2	1	Testis_mean
TRINITY_DN201345_c0_g1_i1	1	Ovary_mean
TRINITY_DN88109_c0_g2_i1	1	Ovary_mean
TRINITY_DN33238_c0_g1_i1	1	Ovary_mean
TRINITY_DN130947_c1_g1_i1	1	Ovary_mean
TRINITY_DN161199_c0_g1_i1	1	Ovary_mean
TRINITY_DN133748_c2_g1_i1	1	Brain_fmean
TRINITY_DN209207_c0_g1_i1	1	Ovary_mean
TRINITY_DN140102_c0_g1_i1	1	Ovary_mean
TRINITY_DN146434_c0_g1_i1	1	Ovary_mean
TRINITY_DN184417_c0_g1_i1	1	Ovary_mean
TRINITY_DN69927_c0_g2_i1	1	Liver_mmean
TRINITY_DN183533_c0_g1_i1	1	Ovary_mean
TRINITY_DN6834_c0_g1_i1	1	Ovary_mean
TRINITY_DN168106_c0_g1_i1	1	Ovary_mean
TRINITY_DN84443_c0_g1_i1	1	Ovary_mean
TRINITY_DN48033_c0_g1_i1	1	Brain_fmean
TRINITY_DN137467_c0_g1_i1	1	Ovary_mean
TRINITY_DN211687_c0_g1_i1	1	Liver_mmean
TRINITY_DN198018_c0_g1_i1	1	Ovary_mean
TRINITY_DN158071_c0_g1_i1	1	Ovary_mean
TRINITY_DN120485_c1_g1_i1	1	Ovary_mean
TRINITY_DN29431_c0_g1_i1	1	Ovary_mean
TRINITY_DN4133_c0_g2_i1	1	Ovary_mean
TRINITY_DN77520_c0_g1_i1	1	Ovary_mean
TRINITY_DN53510_c0_g1_i1	1	Ovary_mean
