gid	tau	tissue	stage	perc
TRINITY_DN132949_c1_g1_i1	0.249393036	Brain_fmean	G27	top10
TRINITY_DN119803_c0_g1_i2	0.069563838	Ovary_mean	G27	top10
TRINITY_DN116031_c0_g1_i1	0.302121364	G43_M_mean	G27	top10
TRINITY_DN128059_c4_g1_i3	0.680555824	G23_mmean	G27	top10
TRINITY_DN131595_c1_g3_i5	0.145963895	Testis_mean	G27	top10
TRINITY_DN117689_c0_g1_i4	0.496410528	Brain_mmean	G27	top10
TRINITY_DN132618_c0_g1_i4	0.184764875	Brain_mmean	G27	top10
TRINITY_DN127575_c4_g3_i2	0.193975117	G23_mmean	G27	top10
TRINITY_DN136710_c24_g2_i1	0.233705713	Brain_mmean	G27	top10
TRINITY_DN115800_c0_g2_i1	0.148670107	G23_mmean	G27	top10
TRINITY_DN135514_c1_g1_i3	0.19249591	Ovary_mean	G27	top10
TRINITY_DN2377_c0_g1_i1	0.111657903	Testis_mean	G27	top10
TRINITY_DN106231_c0_g2_i2	0.11198695	G23_fmean	G27	top10
TRINITY_DN128042_c2_g1_i1	0.532933548	Ovary_mean	G27	top10
TRINITY_DN122191_c0_g1_i2	0.277617628	Ovary_mean	G27	top10
TRINITY_DN127818_c1_g2_i1	0.152166539	Brain_mmean	G27	top10
TRINITY_DN134521_c1_g11_i1	0.317530019	Liver_fmean	G27	top10
TRINITY_DN122050_c0_g1_i3	0.481415096	G43_M_mean	G27	top10
TRINITY_DN136580_c0_g1_i1	0.73087818	G27_mmean	G27	top10
TRINITY_DN124606_c0_g4_i1	0.486920385	G46_M_mean	G27	top10
TRINITY_DN123012_c1_g2_i1	0.388015216	Ovary_mean	G27	top10
TRINITY_DN124792_c0_g2_i1	0.312526854	G23_fmean	G27	top10
TRINITY_DN121285_c1_g1_i1	0.793814059	G31_fmean	G27	top10
TRINITY_DN130830_c1_g1_i2	0.246471178	Testis_mean	G27	top10
TRINITY_DN118997_c0_g1_i2	0.224890766	G23_mmean	G27	top10
TRINITY_DN134264_c3_g2_i1	0.226273354	G23_fmean	G27	top10
TRINITY_DN131907_c0_g25_i6	0.73548349	G31_fmean	G27	top10
TRINITY_DN130904_c1_g1_i8	0.082607028	Brain_mmean	G27	top10
TRINITY_DN131843_c1_g2_i2	0.258754067	Brain_fmean	G27	top10
TRINITY_DN136472_c0_g3_i1	0.52803569	Liver_fmean	G27	top10
TRINITY_DN124631_c0_g1_i5	0.467842874	Ovary_mean	G27	top10
TRINITY_DN119801_c0_g1_i1	0.203951786	G23_fmean	G27	top10
TRINITY_DN135369_c3_g1_i1	0.221485708	Brain_mmean	G27	top10
TRINITY_DN132024_c1_g3_i8	0.426451139	G43_F_mean	G27	top10
TRINITY_DN125955_c2_g1_i6	0.211108565	G27_mmean	G27	top10
TRINITY_DN124459_c0_g2_i1	0.194369376	G23_fmean	G27	top10
TRINITY_DN117061_c0_g1_i1	0.44703099	G27_fmean	G27	top10
TRINITY_DN128985_c0_g1_i1	0.226156556	G23_fmean	G27	top10
TRINITY_DN125651_c4_g1_i1	0.065467439	G23_mmean	G27	top10
TRINITY_DN130947_c1_g6_i1	0.361720269	G27_mmean	G27	top10
TRINITY_DN124356_c7_g4_i1	0.258837532	Ovary_mean	G27	top10
TRINITY_DN135943_c0_g2_i1	0.219934851	G46_M_mean	G27	top10
TRINITY_DN125738_c3_g2_i6	0.366178354	G31_fmean	G27	top10
TRINITY_DN67966_c0_g2_i1	0.215165041	Brain_fmean	G27	top10
TRINITY_DN124755_c2_g2_i3	0.207056745	Ovary_mean	G27	top10
TRINITY_DN134085_c3_g3_i5	0.219482383	Ovary_mean	G27	top10
TRINITY_DN135065_c1_g1_i2	0.438413841	G27_mmean	G27	top10
TRINITY_DN129781_c1_g1_i1	0.399978154	G43_M_mean	G27	top10
TRINITY_DN135942_c0_g2_i1	0.437362098	G23_mmean	G27	top10
TRINITY_DN121970_c0_g1_i6	0.174748152	G23_fmean	G27	top10
TRINITY_DN123269_c0_g1_i1	0.11224594	Brain_mmean	G27	top10
TRINITY_DN126971_c0_g4_i1	0.236689174	Brain_mmean	G27	top10
TRINITY_DN119451_c0_g1_i1	0.19867301	G23_fmean	G27	top10
TRINITY_DN128445_c0_g3_i2	0.181353856	Ovary_mean	G27	top10
TRINITY_DN129563_c0_g3_i2	0.571633224	G27_mmean	G27	top10
TRINITY_DN130612_c1_g4_i2	0.293047335	G27_fmean	G27	top10
TRINITY_DN134197_c7_g2_i4	0.126186977	G23_mmean	G27	top10
TRINITY_DN128367_c1_g4_i3	0.595601988	Brain_mmean	G27	top10
TRINITY_DN115656_c0_g1_i1	0.129925953	G23_mmean	G27	top10
TRINITY_DN115275_c0_g1_i1	0.065461637	G27_fmean	G27	top10
TRINITY_DN133805_c2_g1_i1	0.367910859	Brain_fmean	G27	top10
TRINITY_DN130664_c0_g9_i3	0.162997	G27_mmean	G27	top10
TRINITY_DN130699_c7_g1_i2	0.223853604	Ovary_mean	G27	top10
TRINITY_DN135302_c2_g2_i7	0.244594399	Ovary_mean	G27	top10
TRINITY_DN115618_c0_g1_i1	0.204580822	Ovary_mean	G27	top10
TRINITY_DN124214_c0_g1_i1	0.472926895	G27_mmean	G27	top10
TRINITY_DN126824_c0_g1_i3	0.164511351	Ovary_mean	G27	top10
TRINITY_DN113887_c0_g1_i1	0.754681093	G31_fmean	G27	top10
TRINITY_DN133479_c0_g2_i4	0.404630433	G46_M_mean	G27	top10
TRINITY_DN135896_c2_g3_i1	0.44140751	Brain_mmean	G27	top10
TRINITY_DN115563_c0_g1_i1	0.161110674	G43_M_mean	G27	top10
TRINITY_DN129335_c5_g2_i1	0.153428486	G43_F_mean	G27	top10
TRINITY_DN125392_c6_g1_i13	0.134187403	G23_fmean	G27	top10
TRINITY_DN120251_c0_g1_i2	0.281781903	Ovary_mean	G27	top10
TRINITY_DN133390_c2_g2_i1	0.103618978	Testis_mean	G27	top10
TRINITY_DN120525_c0_g1_i2	0.138184753	Testis_mean	G27	top10
TRINITY_DN131230_c2_g1_i17	0.183967064	G23_fmean	G27	top10
TRINITY_DN98785_c0_g1_i1	0.543816342	G43_F_mean	G27	top10
TRINITY_DN136544_c4_g1_i3	0.474130671	G27_mmean	G27	top10
TRINITY_DN134922_c4_g1_i5	0.211875271	G31_mmean	G27	top10
TRINITY_DN132338_c1_g2_i1	0.106050865	G23_fmean	G27	top10
TRINITY_DN130881_c3_g4_i2	0.162956587	Ovary_mean	G27	top10
TRINITY_DN129328_c0_g2_i1	0.16842263	Liver_fmean	G27	top10
TRINITY_DN126367_c3_g1_i1	0.387539114	Brain_mmean	G27	top10
TRINITY_DN132840_c4_g6_i1	0.116864731	G27_mmean	G27	top10
TRINITY_DN121665_c0_g1_i3	0.481118778	G31_fmean	G27	top10
TRINITY_DN122189_c0_g1_i7	0.451885165	G43_F_mean	G27	top10
TRINITY_DN136247_c3_g2_i9	0.45892566	G31_mmean	G27	top10
TRINITY_DN125538_c3_g7_i1	0.136536292	G27_mmean	G27	top10
TRINITY_DN134017_c3_g3_i1	0.306546121	G43_M_mean	G27	top10
TRINITY_DN128690_c1_g3_i2	0.348665018	Ovary_mean	G27	top10
TRINITY_DN132757_c0_g1_i3	0.248582314	Testis_mean	G27	top10
TRINITY_DN132724_c1_g5_i1	0.871026275	G31_mmean	G27	top10
TRINITY_DN136352_c5_g4_i1	0.652685643	G27_mmean	G27	top10
TRINITY_DN118700_c1_g1_i2	0.150931159	G23_mmean	G27	top10
TRINITY_DN120442_c0_g2_i3	0.443468658	G31_fmean	G27	top10
TRINITY_DN115697_c0_g1_i2	0.159471676	Ovary_mean	G27	top10
TRINITY_DN135403_c1_g1_i1	0.217343323	Ovary_mean	G27	top10
TRINITY_DN116359_c0_g1_i2	0.336527633	Ovary_mean	G27	top10
TRINITY_DN120617_c0_g1_i1	0.134532619	G23_mmean	G27	top10
TRINITY_DN127824_c2_g1_i1	0.37661353	G43_F_mean	G27	top10
TRINITY_DN111071_c0_g1_i1	0.55389613	G31_fmean	G27	top10
TRINITY_DN122176_c0_g2_i3	0.681727237	G27_fmean	G27	top10
TRINITY_DN120038_c0_g2_i1	0.110982399	G27_fmean	G27	top10
TRINITY_DN127163_c0_g4_i1	0.358982663	Testis_mean	G27	top10
TRINITY_DN132885_c0_g1_i1	0.254052948	Liver_fmean	G27	top10
TRINITY_DN129665_c2_g2_i2	0.379405161	G27_mmean	G27	top10
TRINITY_DN135690_c1_g1_i1	0.147630966	Brain_mmean	G27	top10
TRINITY_DN125796_c0_g1_i2	0.396046057	G27_mmean	G27	top10
TRINITY_DN134490_c0_g1_i3	0.201423901	G23_fmean	G27	top10
TRINITY_DN128627_c2_g1_i1	0.230449053	Brain_fmean	G27	top10
TRINITY_DN132600_c0_g8_i1	0.066370172	Testis_mean	G27	top10
TRINITY_DN101361_c0_g1_i2	0.451788343	G23_mmean	G27	top10
TRINITY_DN115756_c0_g1_i1	0.238966371	G23_mmean	G27	top10
TRINITY_DN129138_c3_g3_i1	0.199048676	Brain_fmean	G27	top10
TRINITY_DN76183_c0_g1_i1	0.26218053	Brain_fmean	G27	top10
TRINITY_DN126390_c4_g1_i2	0.20738669	Liver_mmean	G27	top10
TRINITY_DN132688_c0_g1_i2	0.156481019	Ovary_mean	G27	top10
TRINITY_DN124223_c0_g1_i1	0.261114734	Brain_mmean	G27	top10
TRINITY_DN123158_c1_g3_i1	0.323829063	G31_mmean	G27	top10
TRINITY_DN127117_c5_g2_i2	0.138500922	Brain_fmean	G27	top10
TRINITY_DN135049_c6_g1_i2	0.229942791	G23_fmean	G27	top10
TRINITY_DN129631_c6_g2_i1	0.157413381	Brain_mmean	G27	top10
TRINITY_DN125752_c5_g1_i2	0.142958204	G23_mmean	G27	top10
TRINITY_DN116983_c0_g1_i1	0.173121581	G27_fmean	G27	top10
